2016-08-04	11:11:46	l5VJw2ZYlWi0NsGy33z4aOeU22Y=	Sushi	Windows	Greeting hall	Mead hall	Moving
2016-08-04	11:14:13	l5VJw2ZYlWi0NsGy33z4aOeU22Y=	Sushi	Windows	Mead hall	void	Connection timeout
2016-08-04	11:14:41	l5VJw2ZYlWi0NsGy33z4aOeU22Y=	Sushi	Windows	void	Mead hall	Connecting
2016-08-04	12:17:15	+p1eUyeNJ/Pxm6a/55OGPc7xXUA=	Lonelos	Linux	Mead hall	void	Leaving
2016-08-04	12:51:58	TpRzzkj6Fqeu8eQFOuClj0JH5Dk=	Jakyx	Windows	void	Greeting hall	Connecting
2016-08-04	12:52:01	TpRzzkj6Fqeu8eQFOuClj0JH5Dk=	Jakyx	Windows	Greeting hall	Mead hall	Moving
2016-08-04	13:18:14	+p1eUyeNJ/Pxm6a/55OGPc7xXUA=	Lonelos	Linux	void	Mead hall	Connecting
2016-08-04	13:22:27	TpRzzkj6Fqeu8eQFOuClj0JH5Dk=	Jakyx	Windows	Mead hall	Passed-out drunkards[AFK channel]	Moving
2016-08-04	13:22:56	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	void	Greeting hall	Connecting
2016-08-04	13:23:07	MJjHDD/Rz7aed3zGdhDeQtFSNEk=	Alobar	Windows	Greeting hall	Mead hall	Moving
2016-08-04	13:58:43	LXcxF4vO8W4q33+vu9WMzMhK+yI=	Tormentor	Windows	void	Greeting hall	Connecting
2016-08-04	13:59:26	LXcxF4vO8W4q33+vu9WMzMhK+yI=	Tormentor	Windows	Greeting hall	Mead hall	Moving
2016-08-04	14:00:08	Z14TDCQ0UtKM0+Tdw+S9g/MQ1GE=	Noodle	Windows	void	Greeting hall	Connecting
2016-08-04	14:00:13	Z14TDCQ0UtKM0+Tdw+S9g/MQ1GE=	Noodle	Windows	Greeting hall	Mead hall	Moving
2016-08-04	14:16:21	LXcxF4vO8W4q33+vu9WMzMhK+yI=	Tormentor	Windows	Mead hall	void	Leaving
